"ID","緯度","経度","ジャンル1","サブジャンル1","ジャンル2","サブジャンル2","ジャンル3","サブジャンル3","名称","概略","郵便番号","住所","電話番号","Fax番号","E-mail","開館時間","休館日","料金","備考","リンク"
"1598","36.568203","136.569794","避難所","","","","","","打木町くろまつ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0377","金沢市打木町東1452","","","","","","","",""
"1599","36.569134","136.572498","避難所","","","","","","打木町東児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0377","金沢市打木町東1301","","","","","","","",""
"1600","36.568763","136.590725","避難所","","","","","","みどり第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0373","金沢市みどり1-172","","","","","","","",""
"1601","36.56741","136.584028","避難所","","","","","","みどり庭園公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0373","金沢市みどり3-22-1","","","","","","","",""
"1602","36.565756","136.577083","避難所","","","","","","みどり中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0373","金沢市みどり2-58-1","","","","","","","",""
"1603","36.5635791","136.5773759","避難所","","","","","","安原中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0376","金沢市福増町北744","","","","","","","",""
"1604","36.570058","136.573433","避難所","","","","","","安原スポーツ広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0371","金沢市下安原町東1127","","","","","","","",""
"1605","36.567884","136.580432","避難所","","","","","","安原公民館（指定避難場所）","収容人数：210
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0376","金沢市福増町22街区1","","","","","","","標高：4.1M",""
"1606","36.56639","136.586286","避難所","","","","","","尾山台高校（指定避難場所）","収容人数：378
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0374","金沢市上安原町169-1","","","","","","","標高：4.5M",""
"1607","36.570381","136.58412","避難所","","","","","","緑中学校（指定避難場所）","収容人数：3150
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0373","金沢市みどり2-3","","","","","","","標高：4.6M",""
"1608","36.567112","136.579822","避難所","","","","","","安原小学校（指定避難場所）","収容人数：2265
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0376","金沢市福増町北317","","","","","","","標高：4.3M",""
"1609","36.582953","136.58664","避難所","","","","","","加賀友禅染色団地公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0356","金沢市専光寺町ニ172","","","","","","","",""
"1610","36.582138","136.580584","避難所","","","","","","専光寺五本松公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0356","金沢市専光寺町ソ94","","","","","","","",""
"1611","36.573749","136.601568","避難所","","","","","","西部緑地公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0361","金沢市袋畠町","","","","","","","",""
"1612","36.566532","136.601472","避難所","","","","","","松島町西公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0364","金沢市松島3-179","","","","","","","",""
"1613","36.566568","136.609579","避難所","","","","","","古府徳代公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0362","金沢市古府2-4","","","","","","","",""
"1614","36.5710344","136.6075697","避難所","","","","","","古府中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0362","金沢市古府3-95","","","","","","","",""
"1615","36.564236","136.602021","避難所","","","","","","松島町中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0364","金沢市松島2-165","","","","","","","",""
"1616","36.591793","136.585517","避難所","","","","","","健民海浜公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0351","金沢市普正寺町","","","","","","","",""
"1617","36.586255","136.578959","避難所","","","","","","市専光寺ソフトボール場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0356","金沢市専光寺町レ35","","","","","","","",""
"1618","36.572778","136.597176","避難所","","","","","","二塚公民館（指定避難場所）","収容人数：109
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0367","金沢市北塚町西98","","","","","","","標高：5.0M",""
"1619","36.570126","136.590808","避難所","","","","","","緑小学校（指定避難場所）","収容人数：2589
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0373","金沢市みどり1-166","","","","","","","標高：4.5M",""
"1620","36.58701","136.64143","避難所","","","","","","西念町第２公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0024","金沢市西念2-3101","","","","","","","",""
"1621","36.587377","136.636765","避難所","","","","","","西念町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0024","金沢市西念3-701","","","","","","","",""
"1622","36.594632","136.639324","避難所","","","","","","南新保第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0027","金沢市駅西新町2-1101","","","","","","","",""
"1623","36.591726","136.635274","避難所","","","","","","姉妹都市公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0027","金沢市駅西新町3-1001","","","","","","","",""
"1624","36.586902","136.640583","避難所","","","","","","西公民館（指定避難場所）","収容人数：143
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","920-0024","金沢市西念2-34-9","","","","","","","標高：5.3M",""
"1625","36.592415","136.636825","避難所","","","","","","西小学校（指定避難場所）","収容人数：1945
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0027","金沢市駅西新町3-15-1","","","","","","","標高：4.8M",""
"1626","36.589968","136.626399","避難所","","","","","","西都ゆめみどり公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-8202","金沢市西都2-15","","","","","","","",""
"1627","36.582966","136.636102","避難所","","","","","","駅西第４児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0025","金沢市駅西本町3-406","","","","","","","",""
"1628","36.579271","136.619947","避難所","","","","","","桜田中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0057","金沢市桜田町1-116","","","","","","","",""
"1629","36.585438","136.626571","避難所","","","","","","北町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0025","金沢市駅西本町6-403","","","","","","","",""
"1630","36.576334","136.624938","避難所","","","","","","出雲中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0056","金沢市出雲町イ418","","","","","","","",""
"1631","36.576797","136.621327","避難所","","","","","","桜田南児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0057","金沢市桜田町2-65","","","","","","","",""
"1632","36.572884","136.6329","避難所","","","","","","大豆田公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8047","金沢市大豆田本町甲535","","","","","","","",""
"1633","36.575588","136.615787","避難所","","","","","","示野中青島公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0058","金沢市示野中町2-114","","","","","","","",""
"1634","36.577936","136.617205","避難所","","","","","","示野中中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0058","金沢市示野中町1-40","","","","","","","",""
"1635","36.575191","136.631024","避難所","","","","","","若宮中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0054","金沢市若宮2-29","","","","","","","",""
"1636","36.581476","136.607222","避難所","","","","","","示野町児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0059","金沢市示野町西26","","","","","","","",""
"1637","36.579384","136.633686","避難所","","","","","","戸板公民館（指定避難場所）","収容人数：130
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0051","金沢市二口町ニ24-5","","","","","","","標高：7.0M",""
"1638","36.585147","136.629128","避難所","","","","","","長田中学校（指定避難場所）","収容人数：3451
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0067","金沢市二宮町1-1","","","","","","","標高：6.4M",""
"1639","36.579152","136.622468","避難所","","","","","","戸板小学校（指定避難場所）","収容人数：3032
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0068","金沢市戸板１丁目１番地","","","","","","","標高：6.6M",""
"1640","36.574896","136.640104","避難所","","","","","","長田２丁目ひまわり公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","920-0043","金沢市長田2-9番","","","","","","","",""
"1641","36.579937","136.639885","避難所","","","","","","駅西第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0025","金沢市駅西本町1-904","","","","","","","",""
"1642","36.582526","136.643596","避難所","","","","","","駅西中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0024","金沢市西念1-1101","","","","","","","",""
"1643","36.5785","136.643258","避難所","","","","","","駅西第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0031","金沢市広岡2-802","","","","","","","",""
"1644","36.575882","136.642986","避難所","","","","","","長田町公民館（指定避難場所）","収容人数：133
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0043","金沢市長田1-5-50","","","","","","","標高：9.4M",""
"1645","36.575357","136.6421","避難所","","","","","","長田町小学校（指定避難場所）","収容人数：2096
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","920-0043","金沢市長田1-5-40","","","","","","","標高：9.3M",""
"1646","36.516305","136.619926","避難所","","","","","","額新町２丁目緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8149","金沢市額新町2-49","","","","","","","",""
"1647","36.520147","136.621827","避難所","","","","","","額新町１丁目緑地（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8149","金沢市額新町1-183","","","","","","","",""
"1648","36.520842","136.625748","避難所","","","","","","光が丘１丁目児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8142","金沢市光が丘1-67","","","","","","","",""
"1649","36.517403","136.631023","避難所","","","","","","高尾南ゆうあい公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8154","金沢市高尾南2-119","","","","","","","",""
"1650","36.523454","136.622416","避難所","","","","","","馬替児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8141","金沢市馬替2-39-1","","","","","","","",""
"1651","36.523252","136.62716","避難所","","","","","","城谷公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8155","金沢市高尾台4-57","","","","","","","",""
"1652","36.515184","136.634331","避難所","","","","","","高尾第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","921-8154","金沢市高尾南1-165","","","","","","","",""
"1653","36.518064","136.62016","避難所","","","","","","あすなろ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8149","金沢市額新町1-31","","","","","","","",""
"1654","36.517314","136.620497","避難所","","","","","","額新町第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8149","金沢市額新町2-77-1","","","","","","","",""
"1655","36.519052","136.623684","避難所","","","","","","額新町第２公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8149","金沢市額新町1-217","","","","","","","",""
"1656","36.522124","136.624092","避難所","","","","","","扇台公民館（指定避難場所）","収容人数：156
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8141","金沢市馬替1-29-1","","","","","","","標高：25.1M",""
"1657","36.522924","136.625436","避難所","","","","","","扇台小学校（指定避難場所）","収容人数：2549
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8141","金沢市馬替1-34","","","","","","","標高：24.9M",""
"1658","36.508122","136.618889","避難所","","","","","","三十苅児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8131","金沢市三十苅町丙184","","","","","","","",""
"1659","36.507494","136.615425","避難所","","","","","","三十苅中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8131","金沢市三十苅町丁154","","","","","","","",""
"1660","36.499874","136.621049","避難所","","","","","","中四十万児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","921-8133","金沢市四十万町リ部407","","","","","","","",""
"1661","36.497822","136.619473","避難所","","","","","","四十万あいぞめ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8134","金沢市南四十万1-221","","","","","","","",""
"1662","36.503517","136.618292","避難所","","","","","","四十万中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8133","金沢市四十万町3-185","","","","","","","",""
"1663","36.502931","136.617579","避難所","","","","","","四十万小学校（指定避難場所）","収容人数：2492
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","921-8135","金沢市四十万3-186","","","","","","","標高：41.0M",""
"1664","36.509208","136.628877","避難所","","","","","","額谷運動広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8144","金沢市額谷町ホ2-3","","","","","","","",""
"1665","36.513079","136.627364","避難所","","","","","","光が丘３丁目児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8142","金沢市光が丘3-19","","","","","","","",""
"1666","36.508592","136.626285","避難所","","","","","","額谷第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8145","金沢市額谷2-49","","","","","","","",""
"1667","36.508174","136.618903","避難所","","","","","","額乙丸児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8146","金沢市額乙丸町ハ151","","","","","","","",""
"1668","36.516795","136.62407","避難所","","","","","","大額２丁目公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8147","金沢市大額2-132","","","","","","","",""
"1669","36.514143","136.61855","避難所","","","","","","大額１丁目公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8147","金沢市大額1-378","","","","","","","",""
"1670","36.512077","136.624969","避難所","","","","","","額せせらぎ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8147","金沢市大額3-237","","","","","","","",""
"1671","36.509064","136.629464","避難所","","","","","","額谷ふれあい公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8144","金沢市額谷町ヌ16","","","","","","","",""
"1672","36.516312","136.616272","避難所","","","","","","額新保中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8148","金沢市額新保2-350","","","","","","","",""
"1673","36.516282","136.627942","避難所","","","","","","光が丘中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8142","金沢市光が丘2-105","","","","","","","",""
"1674","36.509803","136.629528","避難所","","","","","","鶴寿園（指定避難場所）","収容人数：553
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8144","金沢市額谷町ヌ1","","","","","","","標高：55.2M",""
"1675","36.509409","136.629936","避難所","","","","","","額谷ふれあい体育館（指定避難場所）","収容人数：776
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：未利用","921-8144","金沢市額谷町ヌ16","","","","","","","標高：50.7M",""
"1676","36.510864","136.624167","避難所","","","","","","額公民館（指定避難場所）","収容人数：135
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8145","金沢市額谷3-1-1","","","","","","","標高：36.5M",""
"1677","36.511353","136.62332","避難所","","","","","","額中学校（指定避難場所）","収容人数：3250
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","921-8146","金沢市額乙丸町イ7","","","","","","","標高：35.0M",""
"1678","36.510489","136.621867","避難所","","","","","","額小学校（指定避難場所）","収容人数：2373
災害適否  地震：利用可能 津波：利用可能 洪水：２階以上で利用可能 土砂：利用可能","921-8146","金沢市額乙丸町イ41","","","","","","","標高：34.9M",""
"1679","36.522193","136.636471","避難所","","","","","","的場公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8155","金沢市高尾台1-354","","","","","","","",""
"1680","36.535324","136.623059","避難所","","","","","","横川日吉児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8163","金沢市横川1-68","","","","","","","",""
"1681","36.527494","136.630608","避難所","","","","","","三馬第４児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8162","金沢市三馬3-325","","","","","","","",""
"1682","36.526643","136.634777","避難所","","","","","","三馬第３児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8162","金沢市三馬1-73","","","","","","","",""
"1683","36.525164","136.631215","避難所","","","","","","三馬第２児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8162","金沢市三馬1-229","","","","","","","",""
"1684","36.5307","136.63915","避難所","","","","","","窪錦丘公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8151","金沢市窪7-309","","","","","","","",""
"1685","36.528494","136.632137","避難所","","","","","","三馬第１児童公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8162","金沢市三馬3-150","","","","","","","",""
"1686","36.533472","136.630668","避難所","","","","","","久安殿屋敷公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8164","金沢市久安2-281","","","","","","","",""
"1687","36.532901","136.632321","避難所","","","","","","久安伏見公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8164","金沢市久安1-489","","","","","","","",""
"1688","36.531723","136.634992","避難所","","","","","","円光寺第２公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：未利用 土砂：利用可能","921-8177","金沢市伏見台3-58","","","","","","","",""
"1689","36.52689","136.639652","避難所","","","","","","窪伏見台公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8151","金沢市窪4-547","","","","","","","",""
"1690","36.521395","136.630392","避難所","","","","","","高尾中央公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8155","金沢市高尾台3-143","","","","","","","",""
"1691","36.525937","136.638018","避難所","","","","","","伏見台公民館（指定避難場所）","収容人数：155
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8151","金沢市窪5-675","","","","","","","標高：28.4M",""
"1692","36.522918","136.634261","避難所","","","","","","高尾台中学校（指定避難場所）","収容人数：3844
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8155","金沢市高尾台1-128","","","","","","","標高：29.7M",""
"1693","36.526893","136.637924","避難所","","","","","","伏見台小学校（指定避難場所）","収容人数：2574
災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8151","金沢市窪5-335","","","","","","","標高：27.1M",""
"1694","36.530351","136.655537","避難所","","","","","","大乗寺丘陵公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8112","金沢市長坂町","","","","","","","",""
"1695","36.533417","136.637974","避難所","","","","","","寺地なかよし公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8177","金沢市伏見台2-72","","","","","","","",""
"1696","36.535459","136.644028","避難所","","","","","","寺地みんなの広場（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8178","金沢市寺地1-39","","","","","","","",""
"1697","36.536928","136.635598","避難所","","","","","","寺地いなほ公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8178","金沢市寺地2-69","","","","","","","",""
"1698","36.538962","136.642686","避難所","","","","","","金沢南総合運動公園（指定避難場所）","災害適否  地震：利用可能 津波：利用可能 洪水：利用可能 土砂：利用可能","921-8171","金沢市富樫3-8，9","","","","","","","",""
